,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,구별,경찰서명,위도,경도
0,중부서,2,2,3,2,105,65,1395,477,1355,1170,중구,서울중부경찰서,37.56361709999999,126.9896517
1,중부서,2,2,3,2,105,65,1395,477,1355,1170,중구,서울남대문경찰서,37.5547584,126.9734981
2,남대문서,1,0,6,4,65,46,1153,382,869,794,중구,서울중부경찰서,37.56361709999999,126.9896517
3,남대문서,1,0,6,4,65,46,1153,382,869,794,중구,서울남대문경찰서,37.5547584,126.9734981
4,종로서,3,3,6,5,115,98,1070,413,1278,1070,종로구,서울종로경찰서,37.571824,126.9841533
5,종로서,3,3,6,5,115,98,1070,413,1278,1070,종로구,서울혜화경찰서,37.5719679,126.9989574
6,혜화서,3,2,5,4,96,63,1114,424,1015,861,종로구,서울종로경찰서,37.571824,126.9841533
7,혜화서,3,2,5,4,96,63,1114,424,1015,861,종로구,서울혜화경찰서,37.5719679,126.9989574
8,서대문서,2,2,5,4,154,124,1812,738,2056,1711,서대문구,서울서대문경찰서,37.5777796,126.9390623
9,용산서,5,5,14,14,194,173,1557,587,2050,1704,용산구,서울용산경찰서,37.5387099,126.9659183
10,성북서,2,2,2,1,86,71,953,409,1194,1015,성북구,서울성북경찰서,37.5898228,127.0163427
11,성북서,2,2,2,1,86,71,953,409,1194,1015,성북구,서울종암경찰서,37.603989,127.039937
12,종암서,3,3,3,3,64,53,832,332,1015,840,성북구,서울성북경찰서,37.5898228,127.0163427
13,종암서,3,3,3,3,64,53,832,332,1015,840,성북구,서울종암경찰서,37.603989,127.039937
14,동대문서,5,5,13,13,173,146,1981,814,2548,2227,동대문구,서울동대문경찰서,37.58506149999999,127.0457679
15,마포서,8,8,14,10,294,247,2555,813,2983,2519,마포구,서울마포경찰서,37.550814,126.954028
16,영등포서,14,12,22,20,295,183,2964,978,3572,2961,영등포구,서울영등포경찰서,37.5260441,126.9008091
17,성동서,4,4,9,8,126,119,1607,597,1612,1395,성동구,서울성동경찰서,37.56169149999999,127.0363006
18,동작서,5,5,9,5,285,139,1865,661,1910,1587,동작구,서울동작경찰서,37.5130866,126.9428498
19,광진서,4,4,14,26,240,220,3026,1277,2625,2180,광진구,서울광진경찰서,37.5428231,127.0838395
20,서부서,2,2,2,1,70,59,819,293,1192,1038,은평구,서울서부경찰서,37.6020914,126.9213528
21,서부서,2,2,2,1,70,59,819,293,1192,1038,은평구,서울은평경찰서,37.6280204,126.9287899
22,은평서,1,1,7,5,96,82,1095,418,1461,1268,은평구,서울서부경찰서,37.6020914,126.9213528
23,은평서,1,1,7,5,96,82,1095,418,1461,1268,은평구,서울은평경찰서,37.6280204,126.9287899
24,강북서,7,8,14,13,153,126,1434,618,2649,2348,강북구,서울강북경찰서,37.63719740000001,127.0273048
25,금천서,3,4,6,6,151,122,1567,888,2054,1776,금천구,서울금천경찰서,37.4568129,126.8968061
26,중랑서,13,12,11,9,187,148,2135,829,2847,2407,중랑구,서울중랑경찰서,37.6056429,127.0764866
27,강남서,3,3,15,12,300,225,2411,984,2465,2146,강남구,서울강남경찰서,37.5094352,127.0669578
28,강남서,3,3,15,12,300,225,2411,984,2465,2146,강남구,서울수서경찰서,37.49349,127.0772119
29,수서서,10,7,6,6,149,124,1439,666,1819,1559,강남구,서울강남경찰서,37.5094352,127.0669578
30,수서서,10,7,6,6,149,124,1439,666,1819,1559,강남구,서울수서경찰서,37.49349,127.0772119
31,관악서,9,8,12,14,320,221,2706,827,3298,2642,관악구,서울관악경찰서,37.4743945,126.9513489
32,강서서,7,8,13,13,262,191,2096,1260,3207,2718,양천구,서울양천경찰서,37.5167711,126.8656996
33,양천서,3,5,6,3,120,105,1890,672,2509,2030,양천구,서울양천경찰서,37.5167711,126.8656996
34,강동서,4,3,6,8,156,123,2366,789,2712,2248,강동구,서울강동경찰서,37.528511,127.1268224
35,구로서,8,6,15,11,281,164,2335,889,3007,2432,구로구,서울구로경찰서,37.5074418,126.8902237
36,서초서,7,4,8,5,334,193,1982,905,1852,1607,서초구,서울서초경찰서,37.4954676,127.0053395
37,서초서,7,4,8,5,334,193,1982,905,1852,1607,서초구,서울방배경찰서,37.4945959,126.9831279
38,방배서,1,2,1,1,59,56,653,186,547,491,서초구,서울서초경찰서,37.4954676,127.0053395
39,방배서,1,2,1,1,59,56,653,186,547,491,서초구,서울방배경찰서,37.4945959,126.9831279
40,송파서,11,10,13,10,220,178,3239,1129,3295,2786,송파구,서울송파경찰서,37.5019044,127.1271338
41,노원서,10,10,7,7,197,121,2193,801,2723,2329,노원구,서울노원경찰서,37.6421389,127.0710473
42,도봉서,3,3,9,10,102,106,1063,478,1487,1303,도봉구,서울도봉경찰서,37.6533589,127.052682
